skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,year
Engelska gymnasiet Södermalm*,77632411,Stockholm,0180,5564624368,Internationella Engelska Skolan i Sverige AB,Enskild,"52,4","1,0","51,4","44,5",.,.,"14,1","1,0","727,0",2014
Enskede Gårds gymnasium 35541921,35541921,Stockholm,0180,2120000142,Stockholm,Kommunal,"56,7","1,0","55,7","60,3","75,4","1,8","7,6","4,0","105,8",2014
"Enskilda gymnasiet, gy",69650864,Stockholm,0180,8020126531,Enskilda Gymnasiet,Enskild,"16,6","0,5","16,1","46,6","86,3",.,"16,9",.,.,2014
ESS-gymnasiet 59581397,59581397,Stockholm,0180,2120000142,Stockholm,Kommunal,"24,3","1,0","23,3","57,1","82,8",.,"7,8","2,0","91,0",2014
ESS-gymnasiet 84286715,84286715,Stockholm,0180,2120000142,Stockholm,Kommunal,"25,4","1,0","24,4","73,3","95,9","41,7","5,3",.,.,2014
Framtidsgymnasiet i Stockholm,14926020,Stockholm,0180,5564781606,Framtidsgymnasiet i Göteborg AB,Enskild,"10,0","1,0","9,0","50,9","33,2","5,5","14,0","0,2","630,0",2014
Franska Skolan/Ecole francaise Gymnasium,41938272,Stockholm,0180,8020061530,Stiftelsen Franska Skolan,Enskild,"22,3","0,3","22,0","57,4","96,3",.,"13,2",.,.,2014
Fredrikshovs gymnasiet,48120273,Stockholm,0180,5568834765,Fredrikshovs Utbildning AB,Enskild,"6,4","0,2","6,3","36,0","86,4",.,"14,2","0,2","445,0",2014
Globala gymnasiet 29423248,29423248,Stockholm,0180,2120000142,Stockholm,Kommunal,"36,8","1,0","35,8","64,1","91,0",.,"17,5","0,5","1 250,0",2014
Grillska Gymnasiet Liljeholmen,61185500,Stockholm,0180,8020170794,Stiftelsen Stadsmissionens skola,Enskild,"14,9","1,8","13,1","74,0","80,2","5,0","16,0","2,4","85,7",2014
Grillska Gymnasiet Marievik,33132452,Stockholm,0180,8020170794,Stiftelsen Stadsmissionens skola,Enskild,"37,3",.,"37,3","51,6","68,0",.,"12,1","1,0","452,0",2014
Gymnasieskolan Futurum,56942970,Stockholm,0180,8020031178,Sociala Missionen,Enskild,"5,5","0,8","4,7","54,5","89,4",.,"7,8",.,.,2014
Gymnasieskolan Metapontum,60142020,Stockholm,0180,5566641691,Metapontum AB,Enskild,"3,2","0,1","3,1","66,0","62,1",.,"7,8","0,1","240,0",2014
Hantverksakademins Gymnasium,45385886,Stockholm,0180,5566998208,Hantverksakademin i Sverige AB,Enskild,"10,3","1,0","9,3","31,3","77,8",.,"11,0","1,0","103,0",2014
Hermods Distansgymnasium,70811222,Stockholm,0180,5560440017,Hermods AB,Enskild,"3,1","0,4","2,7","22,2","100,0",.,"0,7",.,.,2014
Hermods Gymnasium Stockholm,17911161,Stockholm,0180,5560440017,Hermods AB,Enskild,"38,1","1,0","37,1","65,6","91,9","1,9","19,8","1,0","737,0",2014
International IT College of Sweden Stockholm,35084976,Stockholm,0180,5563114445,Edinit AB,Enskild,"16,4","1,0","15,4","36,4","74,0","6,5","17,4","0,2","1 340,0",2014
International School of the Stockholm Region 25525759,25525759,Stockholm,0180,2120000142,Stockholm,Kommunal,"17,9","1,0","16,9","48,5","66,3",.,"11,7","0,3","656,7",2014
Internationella Kunskapsgymnasiet,49068301,Stockholm,0180,5565661815,Kunskapsskolan i Sverige AB,Enskild,"13,5","1,0","12,5","52,0","76,0",.,"13,9",.,.,2014
JENSEN Gymnasium Norra,38195284,Stockholm,0180,5566358759,JENSEN education college AB,Enskild,"29,7","1,0","28,7","47,7","71,8",.,"17,2",.,.,2014
JENSEN Gymnasium Södra,97510495,Stockholm,0180,5566358759,JENSEN education college AB,Enskild,"26,6","1,0","25,6","55,2","84,9",.,"16,8","0,4","1 070,0",2014
JENSEN Gymnasium Västra,59898194,Stockholm,0180,5566358759,JENSEN education college AB,Enskild,"14,2","1,0","13,2","68,8","71,9",.,"16,6","0,3","726,7",2014
JENSEN Gymnasium Östra,72580944,Stockholm,0180,5566358759,JENSEN education college AB,Enskild,"0,8",.,"0,8","53,3","100,0",.,"9,3",.,.,2014
Kista gymnasium 41631104,41631104,Stockholm,0180,2120000142,Stockholm,Kommunal,"7,6",.,"7,6","39,4","86,9","0,1","18,1","1,0","138,0",2014
Klara Norra Gymnasium Sthlm,89461767,Stockholm,0180,5566303938,Klaragymnasiet AB,Enskild,"14,3","1,0","13,3","55,1","90,2",.,"15,9","0,2","1 055,0",2014
Klara Södra Gymnasium Sthlm,94717858,Stockholm,0180,5566303938,Klaragymnasiet AB,Enskild,"24,9","1,0","23,9","60,9","71,1",.,"16,6","0,4","990,0",2014
"Kristofferskolan, gy",53760158,Stockholm,0180,8020018720,Stiftelsen Kristofferskolan,Enskild,"18,4","1,0","17,4","56,3","52,3",.,"9,1",.,.,2014
Kungl. Svenska Balettskolan gy 38683336,38683336,Stockholm,0180,2120000142,Stockholm,Kommunal,"13,5","0,3","13,2","76,2","40,2","8,6","2,9","0,2","190,0",2014
Kungsh gy/Sthlms Musikgy 36288955,36288955,Stockholm,0180,2120000142,Stockholm,Kommunal,"28,1",.,"28,1","41,3","69,4",.,"18,0",.,.,2014
Kungsh gy/Sthlms Musikgy 74812809,74812809,Stockholm,0180,2120000142,Stockholm,Kommunal,"16,5",.,"16,5","53,6","93,9",.,"17,1",.,.,2014
Kungsh gy/Sthlms Musikgy 88839172,88839172,Stockholm,0180,2120000142,Stockholm,Kommunal,"21,2",.,"21,2","56,7","89,7",.,"19,8",.,.,2014
Kungsholmens Västra Gymnasium 95618280,95618280,Stockholm,0180,2120000142,Stockholm,Kommunal,"25,1",.,"25,1","66,7","79,2",.,"16,6",.,.,2014
Kungstensgymnasiet,75075402,Stockholm,0180,8020064096,Stiftelsen Kursverksamheten Vid Sthlms Universitetet,Enskild,"20,6","1,0","19,6","66,5","78,0",.,"15,4","0,5","671,1",2014
Kunskapsgymnasiet Globen,26326048,Stockholm,0180,5565661815,Kunskapsskolan i Sverige AB,Enskild,"22,1","1,0","21,1","50,5","90,3",.,"18,2",.,.,2014
Kärrtorps gymnasium 12745593,12745593,Stockholm,0180,2120000142,Stockholm,Kommunal,"15,7","1,0","14,7","48,1","80,5","6,8","16,2",.,.,2014
Kärrtorps gymnasium 22084183,22084183,Stockholm,0180,2120000142,Stockholm,Kommunal,"24,0","1,0","23,0","39,1","88,5",.,"19,0",.,.,2014
Kärrtorps gymnasium 37839488,37839488,Stockholm,0180,2120000142,Stockholm,Kommunal,"23,5","1,0","22,5","47,8","100,0","8,9","19,1","2,0","215,0",2014
LBS Ljud & Bildskolan Stockholm,46256929,Stockholm,0180,5564851649,Ljud & Bildskolan LBS AB,Enskild,"4,5","1,0","3,5","50,1","81,9",.,"18,1",.,.,2014
Lilla Akademiens Musikgymn.,83374651,Stockholm,0180,5565510756,Musikskolan Lilla Akademien AB,Enskild,"11,8","0,6","11,2","62,0","45,7","3,6","10,6",.,.,2014
"Lycée Francais Saint Louis, gy",59796774,Stockholm,0180,9020041852,Lycée Francais Saint-Louis,Enskild,"14,2","0,5","13,7","43,0","16,6",.,"6,7",.,.,2014
Magelungens gymnasium Södermalm,24147242,Stockholm,0180,5564891447,Magelungen Utveckling AB,Enskild,"10,7","0,5","10,2","80,0","88,7",.,"13,2","0,4","382,9",2014
Midsommarkransens gy 17675502,17675502,Stockholm,0180,2120000142,Stockholm,Kommunal,"46,1","1,0","45,1","50,4","85,1","4,4","12,9","1,0","584,0",2014
"Mikael Elias Gymnasium, Stockholm",73812226,Stockholm,0180,5565583282,Mikael Elias Gymnasium AB,Enskild,"18,6","1,0","17,6","53,3","84,1",.,"21,0","0,6","615,0",2014
Nordiska Musikgymnasiet,30762346,Stockholm,0180,5565851507,Nordiska Musikgymnasiet AB,Enskild,"6,9","0,8","6,1","58,7","62,8",.,"6,3",.,.,2014
Norra Real 82964090,82964090,Stockholm,0180,2120000142,Stockholm,Kommunal,"30,9","1,0","29,9","51,5","93,9","5,0","19,5","0,5","1 168,0",2014
Norra Real 88955893,88955893,Stockholm,0180,2120000142,Stockholm,Kommunal,"20,8","1,0","19,8","74,0","91,1","2,5","22,7","0,5","898,0",2014
NTI Handelsgymnasiet Stockholm,15278518,Stockholm,0180,5561203679,"Nordens Teknikerinstitut AB ,NTI,",Enskild,"11,1","1,0","10,1","50,2","87,3",.,"18,4","0,1","3 740,0",2014
NTI-gymnasiet Stockholm,15390992,Stockholm,0180,5561203679,"Nordens Teknikerinstitut AB ,NTI,",Enskild,"38,1","1,0","37,1","47,9","87,9",.,"18,7","0,4","1 732,5",2014
Praktiska Stockholm,85679487,Stockholm,0180,5562575786,Praktiska Sverige AB,Enskild,"28,1","1,0","27,1","36,0","53,8",.,"10,8",.,.,2014
Profilgymnasiet,46282895,Stockholm,0180,5562869320,Uni-Partner AB,Enskild,"1,1","0,2","0,9","44,4","55,6",.,"10,0",.,.,2014
Påhlmans gymnasium,16784385,Stockholm,0180,5565684965,Medborgarskolans Friskolor i Stockholm AB,Enskild,"14,3","1,0","13,3","45,4","79,3","9,3","17,3","0,2","1 540,0",2014
Realgymnasiet Stockholm,59026584,Stockholm,0180,5565715892,Lärande i Sverige AB,Enskild,"26,9","1,0","25,9","80,7","37,9",.,"16,1","5,7","73,2",2014
REFIS Rörentr. friskola Sthlm,79829846,Stockholm,0180,5566285994,REFIS Rörentreprenörernas friskola i Stockholm AB,Enskild,"10,0","1,0","9,0","44,4","66,7","11,1","15,2","0,1","2 740,0",2014
"RGRH Stockholm, Riksgymnasium  för rörelsehindrade elever 89963319",89963319,Stockholm,0180,2120000142,Stockholm,Kommunal,"13,6","0,4","13,2","62,0","92,4",.,"2,3",.,.,2014
Ross Tensta gymnasium 42985608,42985608,Stockholm,0180,2120000142,Stockholm,Kommunal,"24,9","1,0","23,9","77,3","91,0","2,1","12,8","0,9","338,9",2014
Ross Tensta gymnasium 51684798,51684798,Stockholm,0180,2120000142,Stockholm,Kommunal,"24,6","1,0","23,6","54,7","94,7","2,1","16,4","0,9","431,1",2014
Scengymnasiet 92847964,92847964,Stockholm,0180,2120000142,Stockholm,Kommunal,"20,9","1,0","19,9","45,0","86,4","2,7","10,1",.,.,2014
Sjölins Ekonomiska gymnasium Södermalm,87844327,Stockholm,0180,5563758399,Vittragymnasiet AB,Enskild,"4,3","0,3","4,0","50,0","100,0",.,"28,8",.,.,2014
Sjölins gymnasium Södermalm,24339566,Stockholm,0180,5563758399,Vittragymnasiet AB,Enskild,"24,7","1,0","23,7","62,6","81,0","0,8","17,1","0,2","2 020,0",2014
Sjömansskolan,20061769,Stockholm,0180,5565662409,Sjömansskolan Stockholm AB,Enskild,"7,3","0,4","6,9","20,3","50,7","14,5","9,0",.,.,2014
Skolslussen 65458415,65458415,Stockholm,0180,2120000142,Stockholm,Kommunal,"2,0","1,0","1,0","100,0","100,0","100,0","58,0","5,0","11,6",2014
Snitz Gymnasium,95154882,Stockholm,0180,5565042255,PPS Power Planning System AB,Enskild,"19,4","1,0","18,4","42,1","63,3","2,7","7,1","0,7","187,1",2014
Sofiaängens skola gy,25074310,Stockholm,0180,5565980942,Sofiaängen AB,Enskild,"2,6","0,4","2,2","54,5","100,0","18,2","5,9",.,.,2014
SPRINT-gymnasiet 59409052,59409052,Stockholm,0180,2120000142,Stockholm,Kommunal,"19,1","1,0","18,1","89,0","94,5","5,5","12,0","1,0","217,0",2014
Spånga Gymnasium 52333875,52333875,Stockholm,0180,2120000142,Stockholm,Kommunal,"13,3","0,9","12,4","44,1","82,7",.,"16,4","0,9","226,7",2014
Spånga Gymnasium 59316720,59316720,Stockholm,0180,2120000142,Stockholm,Kommunal,"24,8",.,"24,8","61,6","87,9","4,0","15,2",.,.,2014
S:t Eriks gymnasium 24663703,24663703,Stockholm,0180,2120000142,Stockholm,Kommunal,"29,2","1,0","28,2","39,9","95,9","5,5","13,8",.,.,2014
S:t Eriks gymnasium 65666808,65666808,Stockholm,0180,2120000142,Stockholm,Kommunal,"23,1","1,0","22,1","80,6","88,6","2,4","10,2",.,.,2014
S:t Eriks gymnasium 69543519,69543519,Stockholm,0180,2120000142,Stockholm,Kommunal,"24,5",.,"24,5","32,6","83,1","1,6","13,3",.,.,2014
Sthlm hotell & restaurangsk 24397215,24397215,Stockholm,0180,2120000142,Stockholm,Kommunal,"23,8","1,0","22,8","36,2","91,7","5,4","12,7",.,.,2014
Sthlm hotell & restaurangsk 30677562,30677562,Stockholm,0180,2120000142,Stockholm,Kommunal,"19,9","1,0","18,9","63,9","100,0","1,9","19,2",.,.,2014
Sthlm Transp&Fordon 85054102,85054102,Stockholm,0180,2120000142,Stockholm,Kommunal,"6,0","1,0","5,0","40,0","60,0",.,"27,6",.,.,2014
Sthlm Transp&Fordon 87274273,87274273,Stockholm,0180,2120000142,Stockholm,Kommunal,"8,3","1,0","7,3","19,2","46,6",.,"7,5",.,.,2014
Sthlms Int. Restaurangskola,56653353,Stockholm,0180,5566303938,Klaragymnasiet AB,Enskild,"10,6","1,0","9,6","68,8","89,6",.,"16,0",.,.,2014
Stift. Sthlm Intern. School gy,89693952,Stockholm,0180,9020019635,The International School Of Stockholm,Enskild,"11,3","0,5","10,8","63,0","53,7",.,"9,7",.,.,2014
Stiftelsen KFUM Söder Fryshuset ,24759907,Stockholm,0180,8020111582,Stiftelsen Kfum Söder Fryshuset,Enskild,"82,0","1,0","81,0","55,4","54,0",.,"9,0",.,.,2014
"Stockholm Science & Innovation School 78433202, SSIS",78433202,Stockholm,0180,2120000142,Stockholm,Kommunal,"5,2","1,0","4,2","52,4","71,4",.,"22,9",.,.,2014
Stockholms Estetiska Gymnasium,35366805,Stockholm,0180,7696029995,Stockholms Estetiska Gymnasium Ek. För.,Enskild,"23,1","0,7","22,4","46,6","58,9",.,"10,3","0,1","1 916,7",2014
Stockholms Idrottsgymnasium,31315191,Stockholm,0180,5567379226,Stockholms Idrottsgymnasium AB,Enskild,"11,2","0,8","10,4","54,9","88,5",.,"20,2","0,4","527,5",2014
Stockholms Tillskärarakademis Gymnasium,80357110,Stockholm,0180,5565684965,Medborgarskolans Friskolor i Stockholm AB,Enskild,"5,5","0,3","5,2","94,8","85,5","6,8","14,1","0,1","1 460,0",2014
Säkerhetsgymnasiet,23270781,Stockholm,0180,5567551386,Säkerhetsgymnasiet i Stockholm AB,Enskild,"9,2","1,0","8,2","26,8","39,0",.,"18,0",.,.,2014
Södra Latins gymnasium 42775003,42775003,Stockholm,0180,2120000142,Stockholm,Kommunal,"15,0",.,"15,0","54,4","91,4","7,3","32,1",.,.,2014
Södra Latins gymnasium 56670842,56670842,Stockholm,0180,2120000142,Stockholm,Kommunal,"25,2",.,"25,2","62,2","90,8",.,"8,6",.,.,2014
Södra Latins gymnasium 89370947,89370947,Stockholm,0180,2120000142,Stockholm,Kommunal,"42,3",.,"42,3","40,7","66,8","0,8","9,0",.,.,2014
Teknik & Service Gymnasiet,18451445,Stockholm,0180,5568879018,Ludus AB,Enskild,"7,3","0,8","6,5","12,3","46,9","3,1","9,8","0,5","128,0",2014
Thoren Business School Stockholm,48555205,Stockholm,0180,5566139290,ThorenGruppen AB,Enskild,"38,8","0,7","38,1","61,6","96,0",.,"19,5","1,0","742,0",2014
Thoren Innovation School Stockholm,31313926,Stockholm,0180,5568902653,Thoren Innovation School AB,Enskild,"22,6","1,0","21,6","39,9","86,1",.,"13,4","1,0","289,0",2014
Thorildsplans gymnasium 30312720,30312720,Stockholm,0180,2120000142,Stockholm,Kommunal,"18,5",.,"18,5","66,5","88,9",.,"14,3",.,.,2014
Thorildsplans gymnasium 57143976,57143976,Stockholm,0180,2120000142,Stockholm,Kommunal,"22,3",.,"22,3","47,9","83,6","4,5","20,3",.,.,2014
Thorildsplans gymnasium 93367005,93367005,Stockholm,0180,2120000142,Stockholm,Kommunal,"30,2","0,5","29,7","40,8","76,3",.,"17,1",.,.,2014
Tyska skolan,53175499,Stockholm,0180,8020056530,Tyska Skolföreningen,Enskild,"9,7","0,2","9,5","55,3","38,7",.,"10,5",.,.,2014
Viktor Rydberg gy. Jarlaplan,64388538,Stockholm,0180,8120005650,Stiftelsen Viktor Rydbergs Skola,Enskild,"28,8","1,0","27,8","62,3","83,8",.,"17,7","0,3","1 960,0",2014
Viktor Rydberg gy. Odenplan,52153758,Stockholm,0180,8120005650,Stiftelsen Viktor Rydbergs Skola,Enskild,"28,1","1,0","27,1","59,8","73,6",.,"15,1","0,5","852,1",2014
Yrkesgymnasiet Stockholm,16501673,Stockholm,0180,5566139290,ThorenGruppen AB,Enskild,"12,3","1,0","11,3","52,4","45,8",.,"15,0","0,6","281,7",2014
Yrkesplugget,26298615,Stockholm,0180,5566753736,Yrkesplugget i Sverige AB,Enskild,"24,0","1,0","23,0","26,1","39,1",.,"10,7","0,6","408,3",2014
Östra Reals gymnasium 22116645,22116645,Stockholm,0180,2120000142,Stockholm,Kommunal,"31,4","1,0","30,4","51,3","88,3",.,"14,9","1,8","258,3",2014
Östra Reals gymnasium 99755443,99755443,Stockholm,0180,2120000142,Stockholm,Kommunal,"38,9","1,0","37,9","63,5","92,1",.,"19,5",.,.,2014
Gymnasieutbildn. i Storfors,19005839,Storfors,1760,2120001785,Storfors,Kommunal,"2,1",.,"2,1","47,6","95,2",.,"11,0",.,.,2014
Lundsbergs gymnasieskola,30167976,Storfors,1760,8740019362,Stiftelsen Lundsbergs Skola,Enskild,"15,0","1,0","14,0","27,9","84,2",.,"9,4","0,2","655,0",2014
Luspengymnasiet,50104466,Storuman,2421,2120002577,Storuman,Kommunal,"27,4","1,0","26,4","50,4","59,5","3,8","5,7","0,9","177,6",2014
Europaskolan Strängnäs,32071849,Strängnäs,0486,5567478416,Europaskolan Utbildning AB,Enskild,"20,4","1,0","19,4","42,2","79,2",.,"16,7","0,3","978,8",2014
Thomasgymnasiet,79845033,Strängnäs,0486,2120000365,Strängnäs,Kommunal,"41,8","1,0","40,8","61,2","93,0",.,"10,2","1,3","332,8",2014
Strömstad gymnasium SGY 1,41099519,Strömstad,1486,2120001405,Strömstad,Kommunal,"26,5","1,0","25,5","65,0","79,0","3,5","8,9","0,6","380,0",2014
Strömstad gymnasium SGY 2,53503167,Strömstad,1486,2120001405,Strömstad,Kommunal,"19,3","1,0","18,3","48,4","65,9","4,9","7,3","0,4","335,0",2014
Hjalmar Strömerskolan,59386837,Strömsund,2313,2120002486,Strömsund,Kommunal,"33,9","1,0","32,9","50,4","66,1","2,3","9,4","1,5","205,3",2014
Grillska Gymnasiet Sundbyberg,21627442,Sundbyberg,0183,8020170794,Stiftelsen Stadsmissionens skola,Enskild,"9,0","1,0","8,0","39,6","83,8",.,"12,8","0,2","572,2",2014
IT-Gymnasiet Sundbyberg,17276047,Sundbyberg,0183,5565970471,IT Gymnasiet Sverige AB,Enskild,"16,9","1,0","15,9","32,5","67,3",.,"14,4","0,2","1 145,0",2014
Löfströms gymnasium,40308112,Sundbyberg,0183,2120000175,Sundbyberg,Kommunal,"9,7","0,8","8,9","43,9","91,0",.,"9,9","0,5","176,0",2014
S:t Martins gymnasium,19877892,Sundbyberg,0183,2120000175,Sundbyberg,Kommunal,"21,5","1,0","20,5","60,4","79,5","1,0","11,9","0,7","347,1",2014
"Mikael Elias Gymnasium, Sundsvall",21382451,Sundsvall,2281,5565583282,Mikael Elias Gymnasium AB,Enskild,"13,2","1,0","12,2","50,6","88,5",.,"18,7","1,0","227,0",2014
NTI-gymnasiet Sundsvall,48244956,Sundsvall,2281,5561203679,"Nordens Teknikerinstitut AB ,NTI,",Enskild,"16,1","1,0","15,1","63,9","72,1",.,"13,1","1,0","197,0",2014
Plusgymnasiet Sundsvall,36769815,Sundsvall,2281,5565789129,Plusgymnasiet AB,Enskild,"11,6","1,0","10,6","86,8","40,6",.,"12,0","0,1","1 270,0",2014
Praktiska Sundsvall,16931486,Sundsvall,2281,5562575786,Praktiska Sverige AB,Enskild,"13,7","1,0","12,7","36,2","42,1",.,"10,9",.,.,2014
Realgymnasiet i Sundsvall,92489953,Sundsvall,2281,5565715892,Lärande i Sverige AB,Enskild,"7,6","1,0","6,6","45,4","45,5",.,"10,0",.,.,2014
Skvaderns gymnasieskola,43873969,Sundsvall,2281,5566178215,Norrlidens Kunskapscentrum AB,Enskild,"36,5","1,0","35,5","66,5","90,1",.,"13,6","1,0","482,0",2014
Stenstansgymnasiet i Sundsvall,11033803,Sundsvall,2281,5569173635,Honesta Skolutveckling AB,Enskild,"6,7","1,0","5,7","71,8","10,6",.,"11,1",.,.,2014
Sundsvalls Gymn. Hedbergska 2,55825382,Sundsvall,2281,2120002411,Sundsvall,Kommunal,"26,9","1,0","25,9","53,5","93,2","0,8","12,3","1,1","289,1",2014
Sundsvalls Gymn. Hedbergska 3,19306558,Sundsvall,2281,2120002411,Sundsvall,Kommunal,"19,5","1,0","18,5","39,3","83,2","1,9","11,3","0,7","298,6",2014
Sundsvalls Gymn. Hedbergska 4,35301145,Sundsvall,2281,2120002411,Sundsvall,Kommunal,"18,2","0,8","17,4","60,8","100,0","2,0","16,9","0,6","488,3",2014
Sundsvalls Gymn. Västermalm 1,24993048,Sundsvall,2281,2120002411,Sundsvall,Kommunal,"14,8","0,6","14,3","82,5","93,0","3,5","5,2","0,6","134,5",2014
Sundsvalls Gymn. Västermalm 2,70132092,Sundsvall,2281,2120002411,Sundsvall,Kommunal,"26,0","1,0","25,0","8,0","74,0","2,0","10,5","0,8","350,7",2014
Sundsvalls Gymn. Västermalm 3,36290964,Sundsvall,2281,2120002411,Sundsvall,Kommunal,"15,5",.,"15,5","53,2","88,7","9,7","6,5","0,5","202,0",2014
Sundsvalls Gymn. Västermalm 4,65034473,Sundsvall,2281,2120002411,Sundsvall,Kommunal,"23,7","1,0","22,7","67,2","100,0","8,8","13,4","2,2","138,6",2014
Sundsvalls Gymn. Västermalm 5,13084253,Sundsvall,2281,2120002411,Sundsvall,Kommunal,"39,1","1,0","38,1","34,0","81,1","2,0","11,9","1,0","454,0",2014
Thoren Business School Sundsvall,59942080,Sundsvall,2281,5566139290,ThorenGruppen AB,Enskild,"19,9","1,0","18,9","65,0","91,5",.,"13,0","0,6","408,3",2014
Praktiska Sunne,64948738,Sunne,1766,5562575786,Praktiska Sverige AB,Enskild,"5,6","1,0","4,6","52,2","56,5","8,7","7,6",.,.,2014
Sunne Gymnasieskola / Broby,66273269,Sunne,1766,2120001843,Sunne,Kommunal,"27,6","1,0","26,6","75,8","89,1","1,9","6,2","0,8","206,3",2014
Sunne Gymnasieskola / Södra Viken,82888663,Sunne,1766,2120001843,Sunne,Kommunal,"29,8","1,0","28,8","31,9","45,8",.,"6,5",.,.,2014
Viljan,23384476,Surahammar,1907,5567777775,Viljan Friskola AB,Enskild,"9,2","1,0","8,2","65,9","100,0",.,"2,4",.,.,2014
Svalöfs gymnasium,11275959,Svalöv,1214,2120000993,Svalöv,Kommunal,"56,1","0,6","55,5","48,7","59,1","3,6","7,1","1,1","358,2",2014
Nils Fredriksson-utbildning,58518163,Svedala,1263,2120001074,Svedala,Kommunal,"17,5",.,"17,5","45,7","87,2","5,1","11,2","1,0","206,3",2014
Sveriges Ridgymnasium Svedala,50615280,Svedala,1263,5566814504,Sveriges Ridgymnasium AB,Enskild,"8,0","0,6","7,4","84,8","61,2",.,"9,7",.,.,2014
Gymnasieutbildn. i Svenljunga,11681103,Svenljunga,1465,2120001512,Svenljunga,Kommunal,"2,8","0,4","2,4","8,3","91,7",.,"15,0","0,1","360,0",2014
Herrgårdsgymnasiet A,27993549,Säffle,1785,2120001900,Säffle,Kommunal,"29,3","1,0","28,3","14,2","68,1",.,"8,9",.,.,2014
Herrgårdsgymnasiet B,41565332,Säffle,1785,2120001900,Säffle,Kommunal,"22,7",.,"22,7","43,9","81,5","4,4","7,4","0,8","225,3",2014
Dahlander kunskapscentrum,69985412,Säter,2082,2120002247,Säter,Kommunal,"20,5","1,0","19,5","58,3","79,2","5,1","8,3","0,5","322,0",2014
Aleholm,37912396,Sävsjö,0684,2120000563,Sävsjö,Kommunal,"29,0","0,8","28,3","59,6","75,6","3,5","10,1","0,9","331,4",2014
Staffangymnasiet B,45593337,Söderhamn,2182,2120002353,Söderhamn,Kommunal,"36,4","1,0","35,4","49,3","84,1","2,8","9,4","1,0","334,0",2014
Staffangymnasiet C,90312942,Söderhamn,2182,2120002353,Söderhamn,Kommunal,"36,1","1,0","35,1","30,2","65,5",.,"10,3","1,5","242,0",2014
Nyströmska skolan 1,10226870,Söderköping,0582,2120000464,Söderköping,Kommunal,"21,3","0,5","20,8","55,0","72,4","2,4","8,5","1,5","118,1",2014
Nyströmska skolan 2,19839859,Söderköping,0582,2120000464,Söderköping,Kommunal,"14,0","0,4","13,6","69,8","90,0","3,7","11,5","0,2","975,0",2014
Järna naturbruksgymnasium,80280597,Södertälje,0181,8020024405,Nibblestiftelsen,Enskild,"4,0","0,7","3,4","34,3","74,6",.,"10,7","0,1","360,0",2014
Morabergs studiecentrum,97651849,Södertälje,0181,2120000159,Södertälje,Kommunal,"19,5","1,0","18,5","67,9","79,4","5,4","10,7","1,0","198,0",2014
Mälardalens Tekniska Gymnasium,67628478,Södertälje,0181,5565484754,Mälardalens Tekniska Gymnasium AB,Enskild,"28,7","1,0","27,7","24,6","52,6",.,"7,5","0,2","1 030,0",2014
Novalisgymnasiet,68485877,Södertälje,0181,8156008172,Stiftelsen Novalis,Enskild,"8,0","0,5","7,5","57,7","33,6",.,"3,9","0,1","290,0",2014
NTI-gymnasiet Södertälje,37517404,Södertälje,0181,5561203679,"Nordens Teknikerinstitut AB ,NTI,",Enskild,"8,0","1,0","7,0","28,6","57,1",.,"10,6",.,.,2014
Praktiska Södertälje,29159460,Södertälje,0181,5562575786,Praktiska Sverige AB,Enskild,"16,1","1,0","15,1","48,6","53,9","2,2","12,6","0,3","764,0",2014
S:ta Ragnhildgymnasiet,32057701,Södertälje,0181,5564065687,S:ta Ragnhildgymnasiet AB,Enskild,"15,7","1,0","14,7","45,2","77,9",.,"14,1","0,5","414,0",2014
Torekällgymnasiet,43601850,Södertälje,0181,2120000159,Södertälje,Kommunal,"43,9","1,0","42,9","45,3","77,0","2,3","8,4","0,5","718,0",2014
Täljegymnasiet,30615080,Södertälje,0181,2120000159,Södertälje,Kommunal,"49,1","1,0","48,1","53,5","88,0","4,2","11,8","1,3","456,0",2014
